scenario,method,shift_strength,seed,alarm,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_radius,selected_is_planted_group,n_search_cells
planted,split_search_naive,0.8,7,False,x1>2,"[0.00, 0.14]",0.04243179919554107,1.0,1.2238734153404083,False,590
planted,split_search_certified,0.8,7,False,x1>2,"[0.00, 0.14]",0.04243179919554107,1.0,1.2238734153404083,False,590
null,same_data_search,0.8,8,True,x5<-1,"[0.71, 0.86]",0.4555123751628204,5.14047344319531,0.9561617083747879,False,604
null,full_family_simultaneous,0.8,8,False,x5<-1,"[0.71, 0.86]",0.4555123751628204,5.14047344319531,0.9561617083747879,False,604
null,split_search_naive,0.8,8,True,x0>1.5,"[0.29, 0.43]",0.4199398377820189,1.0,1.2238734153404083,False,587
null,split_search_certified,0.8,8,False,x0>1.5,"[0.29, 0.43]",0.4199398377820189,1.0,1.2238734153404083,False,587
planted,same_data_search,0.8,8,True,x0>0.5 & x2>0.5,"[0.29, 0.43]",0.6113132054043958,3.711299136665684,1.125304166929533,False,604
planted,full_family_simultaneous,0.8,8,False,x0>0.5 & x2>0.5,"[0.29, 0.43]",0.6113132054043958,3.711299136665684,1.125304166929533,False,604
planted,split_search_naive,0.8,8,True,x0>0.5 & x2>0.5,"[0.29, 0.43]",0.5928613513724561,1.656980384483062,0.9507751399443505,False,587
planted,split_search_certified,0.8,8,False,x0>0.5 & x2>0.5,"[0.29, 0.43]",0.5928613513724561,1.656980384483062,0.9507751399443505,False,587
null,same_data_search,0.8,9,True,x1>2,"[0.29, 0.43]",0.6439161092464714,1.9617652271370016,1.5455685282119325,False,588
null,full_family_simultaneous,0.8,9,False,x1>2,"[0.29, 0.43]",0.6439161092464714,1.9617652271370016,1.5455685282119325,False,588
null,split_search_naive,0.8,9,True,x0>1 & x2>1,"[0.14, 0.29]",0.22061173345031815,1.0,1.2238734153404083,False,576
null,split_search_certified,0.8,9,False,x0>1 & x2>1,"[0.14, 0.29]",0.22061173345031815,1.0,1.2238734153404083,False,576
planted,same_data_search,0.8,9,True,x0>2,"[0.14, 0.29]",0.7867817093696957,2.6107510062130928,1.339766316654675,False,588
planted,full_family_simultaneous,0.8,9,False,x0>2,"[0.14, 0.29]",0.7867817093696957,2.6107510062130928,1.339766316654675,False,588
planted,split_search_naive,0.8,9,True,x1>1 & x2>1,"[0.71, 0.86]",0.22273224467080016,3.117330344993978,0.6931785060054944,False,576
planted,split_search_certified,0.8,9,False,x1>1 & x2>1,"[0.71, 0.86]",0.22273224467080016,3.117330344993978,0.6931785060054944,False,576
null,same_data_search,0.8,10,True,x1>0.5 & x2>0.5,"[0.43, 0.57]",0.5314513982024762,3.1316885804764345,1.2222634894532576,False,579
null,full_family_simultaneous,0.8,10,False,x1>0.5 & x2>0.5,"[0.43, 0.57]",0.5314513982024762,3.1316885804764345,1.2222634894532576,False,579
null,split_search_naive,0.8,10,True,x1>1.5,"[0.57, 0.71]",0.3319334323207346,3.81096172595145,0.6269302243343023,False,561
null,split_search_certified,0.8,10,False,x1>1.5,"[0.57, 0.71]",0.3319334323207346,3.81096172595145,0.6269302243343023,False,561
planted,same_data_search,0.8,10,True,x0>2,"[0.00, 0.14]",0.8806713680552258,1.6968157607587482,1.6604919658821233,False,579
planted,full_family_simultaneous,0.8,10,False,x0>2,"[0.00, 0.14]",0.8806713680552258,1.6968157607587482,1.6604919658821233,False,579
planted,split_search_naive,0.8,10,False,x0>1 & x3>1,"[0.00, 0.14]",0.04172213107676425,1.6435798225832134,0.954643238168017,False,561
planted,split_search_certified,0.8,10,False,x0>1 & x3>1,"[0.00, 0.14]",0.04172213107676425,1.6435798225832134,0.954643238168017,False,561
null,same_data_search,0.8,11,True,x1>1 & x2>1,"[0.57, 0.71]",0.641837138357384,2.6442113136564616,1.3294260026748097,False,573
null,full_family_simultaneous,0.8,11,False,x1>1 & x2>1,"[0.57, 0.71]",0.641837138357384,2.6442113136564616,1.3294260026748097,False,573
null,split_search_naive,0.8,11,False,x0>1 & x2>1,"[0.14, 0.29]",0.050376297549804036,5.378368495573602,0.5277293204528775,False,546
null,split_search_certified,0.8,11,False,x0>1 & x2>1,"[0.14, 0.29]",0.050376297549804036,5.378368495573602,0.5277293204528775,False,546
planted,same_data_search,0.8,11,True,x0>0.5 & x1>0.5,"[0.00, 0.14]",0.8465174751060783,4.125445018210957,1.0643313311841858,False,573
planted,full_family_simultaneous,0.8,11,True,x0>0.5 & x1>0.5,"[0.14, 0.29]",0.7342118576635163,21.047962556326166,0.4712021000382976,False,573
planted,split_search_naive,0.8,11,True,x3<-1,"[0.00, 0.14]",0.578767976064792,2.8460394838924628,0.7254642917979783,False,546
planted,split_search_certified,0.8,11,False,x3<-1,"[0.00, 0.14]",0.578767976064792,2.8460394838924628,0.7254642917979783,False,546
null,same_data_search,0.8,12,True,x4>1.5,"[0.43, 0.57]",0.49111846026909795,2.8495323690311265,1.2768191701672749,False,542
null,full_family_simultaneous,0.8,12,False,x4>1.5,"[0.43, 0.57]",0.49111846026909795,2.8495323690311265,1.2768191701672749,False,542
null,split_search_naive,0.8,12,True,x1>0 & x2>0,"[0.29, 0.43]",0.3148846676399046,3.324526017700711,0.6712304243680102,False,526
null,split_search_certified,0.8,12,False,x1>0 & x2>0,"[0.29, 0.43]",0.3148846676399046,3.324526017700711,0.6712304243680102,False,526
planted,same_data_search,0.8,12,True,x0>0.5 & x3>0.5,"[0.29, 0.43]",0.6296338878033328,14.204187067793812,0.5718840712295834,False,542
planted,full_family_simultaneous,0.8,12,False,x0>0.5 & x3>0.5,"[0.29, 0.43]",0.6296338878033328,14.204187067793812,0.5718840712295834,False,542
planted,split_search_naive,0.8,12,True,x3>1.5,"[0.29, 0.43]",0.4968031423259524,2.6205630905227606,0.7560302824444132,False,526
planted,split_search_certified,0.8,12,False,x3>1.5,"[0.29, 0.43]",0.4968031423259524,2.6205630905227606,0.7560302824444132,False,526
null,same_data_search,0.8,13,True,x0>1.5,"[0.86, 1.00]",0.6493390760904352,1.5866310624811049,1.7178129038061836,False,583
null,full_family_simultaneous,0.8,13,False,x0>1.5,"[0.86, 1.00]",0.6493390760904352,1.5866310624811049,1.7178129038061836,False,583
