scenario_name,scenario_family,case_id,case_label,case_value,baseline,baseline_category,seed,severity,reference_accuracy,target_accuracy,reference_ece,target_ece,delta_accuracy,delta_ece,delta_log_loss,effective_sample_size,recalibrated_target_ece,recalibrated_target_log_loss,policy_name,score_method,threshold,target_coverage,target_abstention_rate,target_selective_accuracy,target_selective_risk,target_risk_reduction,target_selective_ece,target_ece_reduction,subgroup_abstention_gap
paper_covariate_shift,covariate_shift_sweep,severity_1_40,severity=1.40,1.4,recalibration_only,reliability,7,1.4,0.6727272727272727,0.7818181818181819,0.1411159261331666,0.05690593002884914,0.10909090909090913,-0.08420999610431745,-0.11628767311992577,,0.0775973253710644,0.48558198250105084,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_1_40,severity=1.40,1.4,confidence_abstention,selective,7,1.4,,,,,,,,,,,confidence_abstention,confidence,0.6111970247911331,0.8318181818181818,0.1681818181818182,0.825136612021858,0.17486338797814205,0.043318430203676095,0.04325293043511773,0.01365299959373141,
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,raw_model,reliability,19,0.2,0.7636363636363637,0.759090909090909,0.0785239770791458,0.07473287180296333,-0.00454545454545463,-0.0037911052761824687,0.016263550050055753,,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,weighting_only,reliability,19,0.2,0.7636363636363637,0.759090909090909,0.0785239770791458,0.07473287180296333,-0.00454545454545463,-0.0037911052761824687,0.016263550050055753,182.13314117220338,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,recalibration_only,reliability,19,0.2,0.7818181818181819,0.759090909090909,0.12311043930739514,0.06934050989964989,-0.022727272727272818,-0.05376992940774525,0.055356645662809456,,0.07571597276013338,0.5534622218641596,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,confidence_abstention,selective,19,0.2,,,,,,,,,,,confidence_abstention,confidence,0.5755329908008957,0.8590909090909091,0.14090909090909087,0.798941798941799,0.20105820105820105,0.039850889850889915,0.08190188031921271,-0.012561370419562817,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,raw_model,reliability,19,0.8,0.7636363636363637,0.7772727272727272,0.0785239770791458,0.07616185567158551,0.013636363636363558,-0.002362121407560286,0.007694498728827881,,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,weighting_only,reliability,19,0.8,0.7636363636363637,0.7772727272727272,0.0785239770791458,0.07616185567158551,0.013636363636363558,-0.002362121407560286,0.007694498728827881,109.2741460198373,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,recalibration_only,reliability,19,0.8,0.7818181818181819,0.7863636363636364,0.12311043930739514,0.06696978395671864,0.004545454545454519,-0.0561406553506765,0.047487601782684796,,0.08616486184614178,0.5430479965517301,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,confidence_abstention,selective,19,0.8,,,,,,,,,,,confidence_abstention,confidence,0.5755329908008957,0.85,0.15000000000000002,0.8021390374331551,0.19786096256684493,0.01577540106951869,0.06541771480881796,0.001552069147900681,
paper_covariate_shift,covariate_shift_sweep,severity_1_40,severity=1.40,1.4,raw_model,reliability,19,1.4,0.7636363636363637,0.7681818181818182,0.0785239770791458,0.0724534529661282,0.004545454545454519,-0.006070524113017589,0.020836551560454164,,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_1_40,severity=1.40,1.4,weighting_only,reliability,19,1.4,0.7636363636363637,0.7681818181818182,0.0785239770791458,0.0724534529661282,0.004545454545454519,-0.006070524113017589,0.020836551560454164,56.80317588930135,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_1_40,severity=1.40,1.4,recalibration_only,reliability,19,1.4,0.7818181818181819,0.7636363636363637,0.12311043930739514,0.0576843212220347,-0.018181818181818188,-0.06542611808536045,0.05896862856927526,,0.0970113406102427,0.5685636009331787,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_1_40,severity=1.40,1.4,confidence_abstention,selective,19,1.4,,,,,,,,,,,confidence_abstention,confidence,0.5755329908008957,0.8636363636363636,0.13636363636363635,0.7894736842105263,0.21052631578947367,0.02583732057416266,0.05694859385678812,0.0007357273652465815,
