group,bin,weighted_gap,abs_weighted_gap,target_gap,abs_target_gap,local_ess,estimated_target_mass,source_n,target_n,ci_half_width,certified_excess,naive_alarm,certified_alarm,matches_target_direction
age>40,"[0.00, 0.17]",0.010253182581568872,0.010253182581568872,0.010045292563671718,0.010045292563671718,1076.2731997293447,0.19725439819064144,1369,2572,0.060858336539872326,0.0,False,False,True
age<=60,"[0.83, 1.00]",-0.010238033154740964,0.010238033154740964,-0.003940554534643375,0.003940554534643375,331.5559995956544,0.08446573575061214,448,955,0.1096485505278036,0.0,False,False,True
education-num>=13,"[0.50, 0.67]",0.009231844306382391,0.009231844306382391,0.013821917242670243,0.013821917242670243,221.56052540074694,0.04479513357609795,274,552,0.1341328484337785,0.0,False,False,True
age>60,"[0.00, 0.17]",0.008238312576255504,0.008238312576255504,-0.012133348083724464,0.012133348083724464,183.48704793373687,0.048314951733316465,255,607,0.14739360250676375,0.0,False,False,False
education=HS-grad,"[0.00, 0.17]",0.00790164421321072,0.00790164421321072,0.0033802874182138143,0.0033802874182138143,1376.6096928682614,0.15112991726042152,1926,2047,0.05381160293051465,0.0,False,False,True
race=White,"[0.00, 0.17]",0.007867430553878788,0.007867430553878788,0.009843041804656368,0.009843041804656368,2775.7697946286066,0.3501699866345996,4571,4497,0.037895672432508826,0.0,False,False,True
hours>35,"[0.00, 0.17]",0.007785072956982649,0.007785072956982649,0.010923397117067255,0.010923397117067255,2539.3629802871765,0.33946485280527045,3739,4474,0.03962040845864682,0.0,False,False,True
age<=40,"[0.83, 1.00]",-0.007275812792863986,0.007275812792863986,-0.007063833871836032,0.007063833871836032,117.67053202395486,0.021070985189821246,159,275,0.18405494155150012,0.0,False,False,True
hours>55,"[0.00, 0.17]",-0.00724708006900622,0.00724708006900622,0.0077622683924468685,0.0077622683924468685,86.11992573441067,0.02554079127125838,152,369,0.21514413787988879,0.0,False,False,False
age<=50,"[0.00, 0.17]",0.007227333301413865,0.007227333301413865,0.008659583461709119,0.008659583461709119,3434.3306949854373,0.31904455501014684,4933,4065,0.034069070485059465,0.0,False,False,True
sex=Male,"[0.00, 0.17]",0.006296691413631046,0.006296691413631046,0.011462104818068454,0.011462104818068454,1911.8970685150164,0.2367307100314845,2896,3076,0.045661385681812466,0.0,False,False,True
age<=60,"[0.00, 0.17]",0.00553880999914155,0.00553880999914155,0.0104123086490459,0.0104123086490459,3547.562666527965,0.37772813143483674,5293,4891,0.03352094878952083,0.0,False,False,True
sex=Female,"[0.00, 0.17]",0.005280044722245591,0.005280044722245591,0.0034286642837672143,0.0034286642837672143,1516.7536494391707,0.18931237313666877,2652,2422,0.05126533695278268,0.0,False,False,True
Male & education-num>=13,"[0.00, 0.17]",0.00506098410129776,0.00506098410129776,-0.0068977457984953595,0.0068977457984953595,201.52106934684156,0.02483251006900479,268,322,0.14064396809626487,0.0,False,False,False
education=Some-college,"[0.00, 0.17]",0.005022858706118525,0.005022858706118525,0.012177142617197182,0.012177142617197182,850.68353001259,0.08461340107631059,1419,1050,0.0684537632068686,0.0,False,False,True
age<=30,"[0.00, 0.17]",-0.004780503624987752,0.004780503624987752,-0.010113215522651094,0.010113215522651094,2234.681581396331,0.12602386860166243,2920,1501,0.0422350989262751,0.0,False,False,True
workclass=Self-emp-not-inc,"[0.17, 0.33]",0.004505820133782443,0.004505820133782443,0.024562991600825545,0.024562991600825545,98.20767169352462,0.022353735992366515,133,250,0.20146918659922325,0.0,False,False,True
education=Some-college,"[0.83, 1.00]",-0.004463923518579642,0.004463923518579642,0.011242300684830963,0.011242300684830963,36.98195204317085,0.009560495766608718,58,92,0.32831174918141326,0.0,False,False,False
age<=50,"[0.83, 1.00]",-0.003522661651718512,0.003522661651718512,0.0001950215834476753,0.0001950215834476753,265.398144049987,0.05532522953493394,335,673,0.12255538532370774,0.0,False,False,False
Male & education-num>=13,"[0.50, 0.67]",0.003435352688950348,0.003435352688950348,0.010709606144303463,0.010709606144303463,199.49350033517564,0.04115594974171726,242,510,0.14135688464318474,0.0,False,False,True
workclass=Private,"[0.00, 0.17]",0.002971551338329622,0.002971551338329622,0.005788389986753372,0.005788389986753372,2680.6562923287056,0.30180043726595907,4072,3910,0.03856210864249826,0.0,False,False,True
