scenario,weight_mode,method,shift_strength,seed,alarm,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_label_radius,selected_weight_radius,global_ess,weight_rmse,log_weight_corr,selected_is_planted_group
null,logistic_plugin,nuisance_ci,1.2,57,False,x1>1.5 & x2>1.5,"[0.14, 0.29]",0.742934628354476,1.0,1.6660280174809707,0.5744225100265687,92.56693696591678,1.224238159026039,0.9927696172812348,False
planted,logistic_plugin,naive_max,1.2,57,True,x0>1.5 & x1>1,"[0.14, 0.29]",0.8288167109089527,1.0,1.6660280174809707,0.5813742971906232,92.56693696591678,1.224238159026039,0.9927696172812348,False
planted,logistic_plugin,label_ci,1.2,57,True,x0>0.5,"[0.29, 0.43]",0.5822443742579364,20.14085161309791,0.3712302738414781,0.33005202152637003,92.56693696591678,1.224238159026039,0.9927696172812348,True
planted,logistic_plugin,nuisance_ci,1.2,57,False,x0>1.5 & x1>1,"[0.14, 0.29]",0.8288167109089527,1.0,1.6660280174809707,0.5813742971906232,92.56693696591678,1.224238159026039,0.9927696172812348,False
null,logistic_crossfit,naive_max,1.2,57,True,x2>1.5,"[0.71, 0.86]",0.4893018769942913,2.8511574613581563,0.9873766232002199,0.4687755860463715,109.38577038192597,1.51028859569015,0.9735952930285984,False
null,logistic_crossfit,label_ci,1.2,57,False,x2>1.5,"[0.71, 0.86]",0.4893018769942913,2.8511574613581563,0.9873766232002199,0.4687755860463715,109.38577038192597,1.51028859569015,0.9735952930285984,False
null,logistic_crossfit,nuisance_ci,1.2,57,False,x2>1.5,"[0.71, 0.86]",0.4893018769942913,2.8511574613581563,0.9873766232002199,0.4687755860463715,109.38577038192597,1.51028859569015,0.9735952930285984,False
planted,logistic_crossfit,naive_max,1.2,57,True,x0>1.5 & x1>1,"[0.14, 0.29]",0.8288167109089526,1.0,1.667222037515689,0.07181409249629091,109.38577038192597,1.51028859569015,0.9735952930285984,False
planted,logistic_crossfit,label_ci,1.2,57,True,x0>0.5,"[0.29, 0.43]",0.6000387463247393,20.025945795089168,0.37256059974740446,1.0,109.38577038192597,1.51028859569015,0.9735952930285984,True
planted,logistic_crossfit,nuisance_ci,1.2,57,False,x0>1.5 & x1>1,"[0.14, 0.29]",0.8288167109089526,1.0,1.667222037515689,0.07181409249629091,109.38577038192597,1.51028859569015,0.9735952930285984,False
null,oracle,naive_max,1.2,58,True,x1>1 & x2>1,"[0.29, 0.43]",0.28594888614937525,1.7355012536684158,1.1815145319271048,0.0,45.22940622175454,0.0,1.0,False
null,oracle,label_ci,1.2,58,False,x1>1 & x2>1,"[0.29, 0.43]",0.28594888614937525,1.7355012536684158,1.1815145319271048,0.0,45.22940622175454,0.0,1.0,False
null,oracle,nuisance_ci,1.2,58,False,x1>1 & x2>1,"[0.29, 0.43]",0.28594888614937525,1.7355012536684158,1.1815145319271048,0.0,45.22940622175454,0.0,1.0,False
planted,oracle,naive_max,1.2,58,True,x0>1.5 & x1>1.5,"[0.00, 0.14]",0.9781097162122242,1.4451824569435558,1.2947627397047625,0.0,45.22940622175454,0.0,1.0,False
planted,oracle,label_ci,1.2,58,True,x1<0,"[0.00, 0.14]",0.6438693703879329,15.876461162963865,0.39063817358506514,0.0,45.22940622175454,0.0,1.0,False
planted,oracle,nuisance_ci,1.2,58,True,x1<0,"[0.00, 0.14]",0.6438693703879329,15.876461162963865,0.39063817358506514,0.0,45.22940622175454,0.0,1.0,False
null,logistic_plugin,naive_max,1.2,58,True,x1>1 & x2>1,"[0.29, 0.43]",0.27591458242525496,1.7502083374302444,1.1825574719568555,0.1883428356568167,101.42084475609714,2.6045373989407867,0.9911982136688353,False
null,logistic_plugin,label_ci,1.2,58,False,x1>1 & x2>1,"[0.29, 0.43]",0.27591458242525496,1.7502083374302444,1.1825574719568555,0.1883428356568167,101.42084475609714,2.6045373989407867,0.9911982136688353,False
null,logistic_plugin,nuisance_ci,1.2,58,False,x1>1 & x2>1,"[0.29, 0.43]",0.27591458242525496,1.7502083374302444,1.1825574719568555,0.1883428356568167,101.42084475609714,2.6045373989407867,0.9911982136688353,False
planted,logistic_plugin,naive_max,1.2,58,True,x0>1.5 & x1>1.5,"[0.00, 0.14]",0.9780735780613563,1.4656695122270231,1.2922576257032268,0.5654320523916173,101.42084475609714,2.6045373989407867,0.9911982136688353,False
planted,logistic_plugin,label_ci,1.2,58,True,x0>1.5,"[0.00, 0.14]",0.7210116737016105,16.90517184130132,0.38050234341283806,1.0,101.42084475609714,2.6045373989407867,0.9911982136688353,False
planted,logistic_plugin,nuisance_ci,1.2,58,False,x0>1.5 & x1>1.5,"[0.00, 0.14]",0.9780735780613563,1.4656695122270231,1.2922576257032268,0.5654320523916173,101.42084475609714,2.6045373989407867,0.9911982136688353,False
null,logistic_crossfit,naive_max,1.2,58,True,x1>1.5,"[0.29, 0.43]",0.2560994536206748,2.4357265135519763,1.0024272612818226,0.27232807619064825,108.5762436545025,2.946727645798922,0.976707098806269,False
null,logistic_crossfit,label_ci,1.2,58,False,x1>1.5,"[0.29, 0.43]",0.2560994536206748,2.4357265135519763,1.0024272612818226,0.27232807619064825,108.5762436545025,2.946727645798922,0.976707098806269,False
null,logistic_crossfit,nuisance_ci,1.2,58,False,x1>1.5,"[0.29, 0.43]",0.2560994536206748,2.4357265135519763,1.0024272612818226,0.27232807619064825,108.5762436545025,2.946727645798922,0.976707098806269,False
planted,logistic_crossfit,naive_max,1.2,58,True,x0>1.5 & x1>1.5,"[0.00, 0.14]",0.9777751680348485,1.6340645316253744,1.2238622211532961,0.5050206601256798,108.5762436545025,2.946727645798922,0.976707098806269,False
planted,logistic_crossfit,label_ci,1.2,58,True,x0>1.5,"[0.00, 0.14]",0.6832987147678402,16.669843981371468,0.3831787030387464,1.0,108.5762436545025,2.946727645798922,0.976707098806269,False
planted,logistic_crossfit,nuisance_ci,1.2,58,False,x0>1.5 & x1>1.5,"[0.00, 0.14]",0.9777751680348485,1.6340645316253744,1.2238622211532961,0.5050206601256798,108.5762436545025,2.946727645798922,0.976707098806269,False
null,oracle,naive_max,1.2,59,True,x0>1.5 & x2>1,"[0.29, 0.43]",0.6743593914362533,1.0,1.6319497859811845,0.0,51.646180693431795,0.0,1.0,False
null,oracle,label_ci,1.2,59,False,x0>1.5 & x2>1,"[0.29, 0.43]",0.6743593914362533,1.0,1.6319497859811845,0.0,51.646180693431795,0.0,1.0,False
null,oracle,nuisance_ci,1.2,59,False,x0>1.5 & x2>1,"[0.29, 0.43]",0.6743593914362533,1.0,1.6319497859811845,0.0,51.646180693431795,0.0,1.0,False
planted,oracle,naive_max,1.2,59,True,x1>0.5,"[0.00, 0.14]",0.8811640734899281,3.2625582742078123,0.9034989514588713,0.0,51.646180693431795,0.0,1.0,False
planted,oracle,label_ci,1.2,59,False,x1>0.5,"[0.00, 0.14]",0.8811640734899281,3.2625582742078123,0.9034989514588713,0.0,51.646180693431795,0.0,1.0,False
planted,oracle,nuisance_ci,1.2,59,False,x1>0.5,"[0.00, 0.14]",0.8811640734899281,3.2625582742078123,0.9034989514588713,0.0,51.646180693431795,0.0,1.0,False
null,logistic_plugin,naive_max,1.2,59,True,x0>1.5 & x2>1.5,"[0.29, 0.43]",0.6743593914362533,1.0,1.6452633657459628,1.0,92.12724333103961,1.9927794084067965,0.989216530267872,False
null,logistic_plugin,label_ci,1.2,59,False,x0>1.5 & x2>1.5,"[0.29, 0.43]",0.6743593914362533,1.0,1.6452633657459628,1.0,92.12724333103961,1.9927794084067965,0.989216530267872,False
null,logistic_plugin,nuisance_ci,1.2,59,False,x0>1.5 & x2>1.5,"[0.29, 0.43]",0.6743593914362533,1.0,1.6452633657459628,1.0,92.12724333103961,1.9927794084067965,0.989216530267872,False
planted,logistic_plugin,naive_max,1.2,59,True,x1>1,"[0.00, 0.14]",0.8805266428216889,2.162122872717077,1.1189102235259218,0.69141233925501,92.12724333103961,1.9927794084067965,0.989216530267872,False
planted,logistic_plugin,label_ci,1.2,59,False,x1>1,"[0.00, 0.14]",0.8805266428216889,2.162122872717077,1.1189102235259218,0.69141233925501,92.12724333103961,1.9927794084067965,0.989216530267872,False
planted,logistic_plugin,nuisance_ci,1.2,59,False,x1>1,"[0.00, 0.14]",0.8805266428216889,2.162122872717077,1.1189102235259218,0.69141233925501,92.12724333103961,1.9927794084067965,0.989216530267872,False
null,logistic_crossfit,naive_max,1.2,59,True,x0>1.5 & x2>1.5,"[0.29, 0.43]",0.6743593914362533,1.0,1.6494168939544458,1.0,100.46506952942526,1.9990695895462485,0.975488873970486,False
null,logistic_crossfit,label_ci,1.2,59,False,x0>1.5 & x2>1.5,"[0.29, 0.43]",0.6743593914362533,1.0,1.6494168939544458,1.0,100.46506952942526,1.9990695895462485,0.975488873970486,False
null,logistic_crossfit,nuisance_ci,1.2,59,False,x0>1.5 & x2>1.5,"[0.29, 0.43]",0.6743593914362533,1.0,1.6494168939544458,1.0,100.46506952942526,1.9990695895462485,0.975488873970486,False
planted,logistic_crossfit,naive_max,1.2,59,True,x1>1,"[0.00, 0.14]",0.8808897596437488,2.1993596788745866,1.112198510327978,0.8694991133030051,100.46506952942526,1.9990695895462485,0.975488873970486,False
planted,logistic_crossfit,label_ci,1.2,59,False,x1>1,"[0.00, 0.14]",0.8808897596437488,2.1993596788745866,1.112198510327978,0.8694991133030051,100.46506952942526,1.9990695895462485,0.975488873970486,False
planted,logistic_crossfit,nuisance_ci,1.2,59,False,x1>1,"[0.00, 0.14]",0.8808897596437488,2.1993596788745866,1.112198510327978,0.8694991133030051,100.46506952942526,1.9990695895462485,0.975488873970486,False
null,oracle,naive_max,1.2,60,True,x0>1 & x1>1,"[0.57, 0.71]",0.6005499758845532,1.2304775652847728,1.483196109699609,0.0,6.773726477185854,0.0,0.9999999999999998,False
null,oracle,label_ci,1.2,60,False,x0>1 & x1>1,"[0.57, 0.71]",0.6005499758845532,1.2304775652847728,1.483196109699609,0.0,6.773726477185854,0.0,0.9999999999999998,False
null,oracle,nuisance_ci,1.2,60,False,x0>1 & x1>1,"[0.57, 0.71]",0.6005499758845532,1.2304775652847728,1.483196109699609,0.0,6.773726477185854,0.0,0.9999999999999998,False
planted,oracle,naive_max,1.2,60,True,x0>1 & x1>1,"[0.00, 0.14]",0.9360351569470393,4.163491559435811,0.8063184239585844,0.0,6.773726477185854,0.0,0.9999999999999998,False
planted,oracle,label_ci,1.2,60,True,x0>0.5,"[0.00, 0.14]",0.75566236796947,12.575919141165985,0.46394399667300157,0.0,6.773726477185854,0.0,0.9999999999999998,True
planted,oracle,nuisance_ci,1.2,60,True,x0>0.5,"[0.00, 0.14]",0.75566236796947,12.575919141165985,0.46394399667300157,0.0,6.773726477185854,0.0,0.9999999999999998,True
null,logistic_plugin,naive_max,1.2,60,True,x0>1 & x1>1,"[0.57, 0.71]",0.5870041301413557,1.2621638906964585,1.4796945019375418,1.0,96.44885370875578,11.199997902688846,0.9682034599754997,False
null,logistic_plugin,label_ci,1.2,60,False,x0>1 & x1>1,"[0.57, 0.71]",0.5870041301413557,1.2621638906964585,1.4796945019375418,1.0,96.44885370875578,11.199997902688846,0.9682034599754997,False
null,logistic_plugin,nuisance_ci,1.2,60,False,x0>1 & x1>1,"[0.57, 0.71]",0.5870041301413557,1.2621638906964585,1.4796945019375418,1.0,96.44885370875578,11.199997902688846,0.9682034599754997,False
planted,logistic_plugin,naive_max,1.2,60,True,x0>1 & x1>1,"[0.00, 0.14]",0.935039784339793,4.0459018108892195,0.8264608134378297,1.0,96.44885370875578,11.199997902688846,0.9682034599754997,False
planted,logistic_plugin,label_ci,1.2,60,True,x0>0.5,"[0.00, 0.14]",0.7501394365503006,12.770047971527474,0.46519353593005514,1.0,96.44885370875578,11.199997902688846,0.9682034599754997,True
planted,logistic_plugin,nuisance_ci,1.2,60,False,x0>1 & x1>1,"[0.00, 0.14]",0.935039784339793,4.0459018108892195,0.8264608134378297,1.0,96.44885370875578,11.199997902688846,0.9682034599754997,False
