scenario,method,shift_strength,seed,alarm,abstained,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_ci_half_width,global_ess,n_cells,n_eligible_cells,selected_is_planted_group
planted,global_ess_gate,0.4,182,True,False,x0>1.5 & x2>1.5,"[0.00, 0.14]",0.9626202495477629,1.952606795985175,1.1869719701960326,612.8598206845127,110,110,False
planted,local_ess_gate,0.4,182,True,False,x0>1,"[0.00, 0.14]",0.7088528661387906,46.587014484879255,0.24300511874094977,612.8598206845127,110,61,False
planted,simultaneous_ci,0.4,182,True,False,x0>1.5,"[0.00, 0.14]",0.8655652297864666,18.191852472901196,0.38887444021618833,612.8598206845127,110,110,False
null,naive_max,0.4,183,True,False,x0>1.5 & x1>1.5,"[0.57, 0.71]",0.38516903067427577,2.8277792979463747,0.9775504447183376,646.8020796652222,99,99,False
null,global_ess_gate,0.4,183,True,False,x0>1.5 & x1>1.5,"[0.57, 0.71]",0.38516903067427577,2.8277792979463747,0.9775504447183376,646.8020796652222,99,99,False
null,local_ess_gate,0.4,183,False,False,x1>1,"[0.57, 0.71]",0.1631560493872289,20.989331215055074,0.3588084255088002,646.8020796652222,99,57,False
null,simultaneous_ci,0.4,183,False,False,x0>1.5 & x1>1.5,"[0.57, 0.71]",0.38516903067427577,2.8277792979463747,0.9775504447183376,646.8020796652222,99,99,False
planted,naive_max,0.4,183,True,False,x0>1,"[0.00, 0.14]",0.7147060591513226,19.974240760396114,0.3678127610831796,646.8020796652222,99,99,False
planted,global_ess_gate,0.4,183,True,False,x0>1,"[0.00, 0.14]",0.7147060591513226,19.974240760396114,0.3678127610831796,646.8020796652222,99,99,False
planted,local_ess_gate,0.4,183,True,False,x0>0.5,"[0.00, 0.14]",0.6609323501519203,34.03918187154631,0.2817554830590914,646.8020796652222,99,57,True
planted,simultaneous_ci,0.4,183,True,False,x0>1,"[0.00, 0.14]",0.7147060591513226,19.974240760396114,0.3678127610831796,646.8020796652222,99,99,False
null,naive_max,0.4,184,True,False,x0>1 & x1>1,"[0.43, 0.57]",0.3887552673429874,6.6442210831140125,0.630643427311237,670.1534645949666,87,87,False
null,global_ess_gate,0.4,184,True,False,x0>1 & x1>1,"[0.43, 0.57]",0.3887552673429874,6.6442210831140125,0.630643427311237,670.1534645949666,87,87,False
null,local_ess_gate,0.4,184,False,False,x1>1,"[0.43, 0.57]",0.16318549810990549,24.8543910269778,0.3260651231510491,670.1534645949666,87,58,False
null,simultaneous_ci,0.4,184,False,False,x0>1 & x1>1,"[0.43, 0.57]",0.3887552673429874,6.6442210831140125,0.630643427311237,670.1534645949666,87,87,False
planted,naive_max,0.4,184,True,False,x0>1.5,"[0.29, 0.43]",0.6298013100794857,12.997136071852095,0.4509019135574556,670.1534645949666,87,87,False
planted,global_ess_gate,0.4,184,True,False,x0>1.5,"[0.29, 0.43]",0.6298013100794857,12.997136071852095,0.4509019135574556,670.1534645949666,87,87,False
planted,local_ess_gate,0.4,184,True,False,x0>1,"[0.29, 0.43]",0.6010914362145187,21.444854477755488,0.3510301013912528,670.1534645949666,87,58,False
planted,simultaneous_ci,0.4,184,True,False,x0>1,"[0.29, 0.43]",0.6010914362145187,21.444854477755488,0.3510301013912528,670.1534645949666,87,87,False
null,naive_max,0.4,185,True,False,x0>1.5 & x1>1.5,"[0.14, 0.29]",0.7464237550811942,1.8554560431516327,1.21765015004677,633.3694959372431,110,110,False
null,global_ess_gate,0.4,185,True,False,x0>1.5 & x1>1.5,"[0.14, 0.29]",0.7464237550811942,1.8554560431516327,1.21765015004677,633.3694959372431,110,110,False
null,local_ess_gate,0.4,185,False,False,x1<-0.5,"[0.57, 0.71]",0.19571021106242878,26.452173093664566,0.32249069165831323,633.3694959372431,110,63,False
null,simultaneous_ci,0.4,185,False,False,x0>1.5 & x1>1.5,"[0.14, 0.29]",0.7464237550811942,1.8554560431516327,1.21765015004677,633.3694959372431,110,110,False
planted,naive_max,0.4,185,True,False,x0>0.5,"[0.00, 0.14]",0.8174181769448019,10.36589999825169,0.5151626330642026,633.3694959372431,110,110,True
planted,global_ess_gate,0.4,185,True,False,x0>0.5,"[0.00, 0.14]",0.8174181769448019,10.36589999825169,0.5151626330642026,633.3694959372431,110,110,True
planted,local_ess_gate,0.4,185,True,False,x0>0.5,"[0.29, 0.43]",0.5586697184588029,34.190356874746136,0.28365865852580174,633.3694959372431,110,63,True
planted,simultaneous_ci,0.4,185,True,False,x0>0.5,"[0.00, 0.14]",0.8174181769448019,10.36589999825169,0.5151626330642026,633.3694959372431,110,110,True
null,naive_max,0.4,186,True,False,x1>1 & x2>1,"[0.43, 0.57]",0.5265320455298996,3.7083292050261285,0.8572314756290668,637.8988582473593,104,104,False
null,global_ess_gate,0.4,186,True,False,x1>1 & x2>1,"[0.43, 0.57]",0.5265320455298996,3.7083292050261285,0.8572314756290668,637.8988582473593,104,104,False
null,local_ess_gate,0.4,186,False,False,x2>0.5,"[0.43, 0.57]",0.1548244995358109,35.23211440167867,0.27811082665914144,637.8988582473593,104,61,False
null,simultaneous_ci,0.4,186,False,False,x1>1 & x2>1,"[0.43, 0.57]",0.5265320455298996,3.7083292050261285,0.8572314756290668,637.8988582473593,104,104,False
planted,naive_max,0.4,186,True,False,x0>1,"[0.00, 0.14]",0.6931189842198701,23.099280803578615,0.3434693755746603,637.8988582473593,104,104,False
planted,global_ess_gate,0.4,186,True,False,x0>1,"[0.00, 0.14]",0.6931189842198701,23.099280803578615,0.3434693755746603,637.8988582473593,104,104,False
planted,local_ess_gate,0.4,186,True,False,x0>1,"[0.00, 0.14]",0.6931189842198701,23.099280803578615,0.3434693755746603,637.8988582473593,104,61,False
planted,simultaneous_ci,0.4,186,True,False,x0>1,"[0.00, 0.14]",0.6931189842198701,23.099280803578615,0.3434693755746603,637.8988582473593,104,104,False
null,naive_max,0.4,187,True,False,x0>1 & x1>1,"[0.14, 0.29]",0.3174377865963527,9.34146006129715,0.5354501283097859,621.5696677868237,94,94,False
null,global_ess_gate,0.4,187,True,False,x0>1 & x1>1,"[0.14, 0.29]",0.3174377865963527,9.34146006129715,0.5354501283097859,621.5696677868237,94,94,False
null,local_ess_gate,0.4,187,False,False,x1>1,"[0.29, 0.43]",0.14637551855422987,26.72762154984778,0.31655286682210115,621.5696677868237,94,63,False
null,simultaneous_ci,0.4,187,False,False,x0>1 & x1>1,"[0.14, 0.29]",0.3174377865963527,9.34146006129715,0.5354501283097859,621.5696677868237,94,94,False
planted,naive_max,0.4,187,True,False,x0>1.5 & x2>1.5,"[0.00, 0.14]",0.9762964541501233,1.4580208777690644,1.3553283921184782,621.5696677868237,94,94,False
planted,global_ess_gate,0.4,187,True,False,x0>1.5 & x2>1.5,"[0.00, 0.14]",0.9762964541501233,1.4580208777690644,1.3553283921184782,621.5696677868237,94,94,False
planted,local_ess_gate,0.4,187,True,False,x1<0,"[0.00, 0.14]",0.6730976899812423,36.15059932977058,0.2721878008932513,621.5696677868237,94,63,False
planted,simultaneous_ci,0.4,187,True,False,x1<-0.5,"[0.00, 0.14]",0.7240136252356216,15.90436341248364,0.41036306252431376,621.5696677868237,94,94,False
null,naive_max,0.4,188,True,False,x1>1 & x2>1,"[0.29, 0.43]",0.39582766186161245,2.736698736319431,1.0010649726470309,634.4769275230459,108,108,False
null,global_ess_gate,0.4,188,True,False,x1>1 & x2>1,"[0.29, 0.43]",0.39582766186161245,2.736698736319431,1.0010649726470309,634.4769275230459,108,108,False
null,local_ess_gate,0.4,188,True,False,x2>0.5,"[0.29, 0.43]",0.2200595913867004,23.331753595642216,0.34284835563132443,634.4769275230459,108,60,False
null,simultaneous_ci,0.4,188,False,False,x1>1 & x2>1,"[0.29, 0.43]",0.39582766186161245,2.736698736319431,1.0010649726470309,634.4769275230459,108,108,False
planted,naive_max,0.4,188,True,False,x0>0.5,"[0.29, 0.43]",0.6271378965645968,12.75436667852185,0.463709840462477,634.4769275230459,108,108,True
planted,global_ess_gate,0.4,188,True,False,x0>0.5,"[0.29, 0.43]",0.6271378965645968,12.75436667852185,0.463709840462477,634.4769275230459,108,108,True
planted,local_ess_gate,0.4,188,True,False,x0>0.5,"[0.43, 0.57]",0.5047901713113835,22.5669412972381,0.34860965566351076,634.4769275230459,108,60,True
planted,simultaneous_ci,0.4,188,False,False,x0>0.5,"[0.29, 0.43]",0.6271378965645968,12.75436667852185,0.463709840462477,634.4769275230459,108,108,True
null,naive_max,0.4,189,True,False,x0>1.5,"[0.43, 0.57]",0.4129065668892761,4.137681189842669,0.8153974503896824,621.01851177301,110,110,False
null,global_ess_gate,0.4,189,True,False,x0>1.5,"[0.43, 0.57]",0.4129065668892761,4.137681189842669,0.8153974503896824,621.01851177301,110,110,False
null,local_ess_gate,0.4,189,True,False,x2>1,"[0.29, 0.43]",0.20123863997113567,21.09624069132189,0.36111483141847406,621.01851177301,110,65,False
null,simultaneous_ci,0.4,189,False,False,x0>1.5,"[0.43, 0.57]",0.4129065668892761,4.137681189842669,0.8153974503896824,621.01851177301,110,110,False
planted,naive_max,0.4,189,True,False,x0>1,"[0.14, 0.29]",0.7014419471227228,8.266572830079674,0.5768795098002703,621.01851177301,110,110,False
planted,global_ess_gate,0.4,189,True,False,x0>1,"[0.14, 0.29]",0.7014419471227228,8.266572830079674,0.5768795098002703,621.01851177301,110,110,False
planted,local_ess_gate,0.4,189,True,False,x0>0.5,"[0.29, 0.43]",0.6231056057876033,26.918089497540503,0.3196875661832275,621.01851177301,110,65,True
planted,simultaneous_ci,0.4,189,True,False,x0>0.5,"[0.29, 0.43]",0.6231056057876033,26.918089497540503,0.3196875661832275,621.01851177301,110,110,True
null,naive_max,0.4,190,True,False,x0>1 & x2>1,"[0.57, 0.71]",0.4980821738336972,3.4687690075339965,0.8912323416911213,610.6050962821436,111,111,False
null,global_ess_gate,0.4,190,True,False,x0>1 & x2>1,"[0.57, 0.71]",0.4980821738336972,3.4687690075339965,0.8912323416911213,610.6050962821436,111,111,False
null,local_ess_gate,0.4,190,True,False,x0<-0.5,"[0.57, 0.71]",0.26784218348922323,23.41619254853436,0.3430208256436072,610.6050962821436,111,56,False
null,simultaneous_ci,0.4,190,False,False,x0>1 & x2>1,"[0.57, 0.71]",0.4980821738336972,3.4687690075339965,0.8912323416911213,610.6050962821436,111,111,False
planted,naive_max,0.4,190,True,False,x0>1.5,"[0.00, 0.14]",0.7856899282876545,3.4590001282609304,0.8924899598464596,610.6050962821436,111,111,False
planted,global_ess_gate,0.4,190,True,False,x0>1.5,"[0.00, 0.14]",0.7856899282876545,3.4590001282609304,0.8924899598464596,610.6050962821436,111,111,False
planted,local_ess_gate,0.4,190,True,False,x0>0.5,"[0.29, 0.43]",0.6355290624306063,24.078855744912865,0.338267836521044,610.6050962821436,111,56,True
planted,simultaneous_ci,0.4,190,True,False,x0>0.5,"[0.29, 0.43]",0.6355290624306063,24.078855744912865,0.338267836521044,610.6050962821436,111,111,True
null,naive_max,0.4,191,True,False,x0>1.5,"[0.43, 0.57]",0.3768853570640798,6.349556909970523,0.6551119773791482,641.4579176004112,104,104,False
null,global_ess_gate,0.4,191,True,False,x0>1.5,"[0.43, 0.57]",0.3768853570640798,6.349556909970523,0.6551119773791482,641.4579176004112,104,104,False
null,local_ess_gate,0.4,191,False,False,x2>0.5,"[0.57, 0.71]",0.1898197057204447,24.60211135957514,0.33281359606408595,641.4579176004112,104,63,False
null,simultaneous_ci,0.4,191,False,False,x0>1.5,"[0.43, 0.57]",0.3768853570640798,6.349556909970523,0.6551119773791482,641.4579176004112,104,104,False
planted,naive_max,0.4,191,True,False,x0>1.5,"[0.00, 0.14]",0.89335463915146,8.471190909135293,0.5671723036767585,641.4579176004112,104,104,False
