weight_mode,shift_strength,seed,group,bin,n_active,global_ess,bin_group_ess,target_mass_est,abs_theta_hat,abs_normalized_gap
logistic,1.2,27,x1>1 & x2>1,"[0.29, 0.43]",2,50.86617404413012,1.5489747124152857,0.07008263005125177,0.028601689650762582,0.4081138169307577
logistic,1.2,27,x1>1 & x2>1,"[0.43, 0.57]",2,50.86617404413012,1.9836093223772915,0.057407152410100436,0.0007916195097876563,0.013789562389936201
logistic,1.2,27,x1>1.5 & x2>1,"[0.00, 0.14]",3,50.86617404413012,2.3412010173412128,0.06743681008827478,0.002616570982810834,0.038800337373398046
logistic,1.2,27,x1>1.5 & x2>1,"[0.14, 0.29]",1,50.86617404413012,1.0,0.053949884696220224,0.014677325541809784,0.2720548083550972
logistic,1.2,27,x1>1.5 & x2>1,"[0.29, 0.43]",1,50.86617404413012,1.0,0.053949884696220224,0.03369888237687298,0.6246330750588973
logistic,1.2,27,x1>1.5 & x2>1.5,"[0.00, 0.14]",2,50.86617404413012,1.826952860662329,0.0582687586211963,0.0023931381696268737,0.041070690817091256
logistic,1.2,27,x1>1.5 & x2>1.5,"[0.14, 0.29]",1,50.86617404413012,1.0,0.053949884696220224,0.014677325541809784,0.2720548083550972
logistic,1.2,28,x0>0.5,"[0.00, 0.14]",35,42.25307316238869,6.418256571142338,0.22531903310048046,0.01323781342676021,0.05875142123859922
logistic,1.2,28,x0>0.5,"[0.14, 0.29]",37,42.25307316238869,8.43755787668925,0.11051366662388246,0.012282389147269816,0.1111390972943752
logistic,1.2,28,x0>0.5,"[0.29, 0.43]",19,42.25307316238869,1.9718893279274026,0.06924339495692315,0.017267170528391083,0.24936920754872177
logistic,1.2,28,x0>0.5,"[0.43, 0.57]",14,42.25307316238869,1.8714562499356453,0.06755944317966345,0.021970452077616748,0.3252017933183652
logistic,1.2,28,x0>0.5,"[0.57, 0.71]",17,42.25307316238869,3.640215314339801,0.1164759596808282,0.01945525699795494,0.16703238205778226
logistic,1.2,28,x0>0.5,"[0.71, 0.86]",15,42.25307316238869,3.103624947484469,0.09732980479192077,0.03493262287451722,0.35890982160293966
logistic,1.2,28,x0>0.5,"[0.86, 1.00]",6,42.25307316238869,3.5967391623257026,0.02946116435013083,0.0025804938344260032,0.08758967581043836
logistic,1.2,28,x0>1,"[0.00, 0.14]",26,42.25307316238869,6.008972377272365,0.21777306481759612,0.012924584136236381,0.05934886459471855
logistic,1.2,28,x0>1,"[0.14, 0.29]",22,42.25307316238869,6.36098056005997,0.09483860943962494,0.010899329227846364,0.11492502148911167
logistic,1.2,28,x0>1,"[0.29, 0.43]",6,42.25307316238869,4.374874272502264,0.006197092851665914,0.0013248462503504558,0.21378512184052692
logistic,1.2,28,x0>1,"[0.43, 0.57]",5,42.25307316238869,1.3386725045573782,0.05687360848742587,0.025154334780895883,0.4422848391351365
logistic,1.2,28,x0>1,"[0.57, 0.71]",6,42.25307316238869,2.0186026413290215,0.04952256696465048,0.012324646459828855,0.2488692976805153
logistic,1.2,28,x0>1,"[0.71, 0.86]",7,42.25307316238869,5.107606059877004,0.01694947913751133,0.00067564556521519,0.03986232023613641
logistic,1.2,28,x0>1,"[0.86, 1.00]",3,42.25307316238869,1.642243442244212,0.014823670841736794,0.0009139915850419634,0.06165757421357293
logistic,1.2,28,x0>1.5,"[0.00, 0.14]",12,42.25307316238869,4.175263513368583,0.15110393893281537,0.0053205354140815715,0.03521109675669816
logistic,1.2,28,x0>1.5,"[0.14, 0.29]",9,42.25307316238869,3.9937785898262605,0.023374569036448776,0.0015735504183249874,0.06731890610993924
logistic,1.2,28,x0>1.5,"[0.29, 0.43]",1,42.25307316238869,1.0,0.00039001597176762233,0.00015691776285738787,0.4023367610977787
logistic,1.2,28,x0>1.5,"[0.43, 0.57]",3,42.25307316238869,1.287037191351251,0.05575469883310398,0.025702280496495217,0.46098859888800364
logistic,1.2,28,x0>1.5,"[0.57, 0.71]",2,42.25307316238869,1.0468670188132942,0.03456050419832716,0.013809980304797038,0.3995885078975638
logistic,1.2,28,x0>1.5,"[0.71, 0.86]",1,42.25307316238869,1.0,0.0021016228243990022,0.0015212689439757768,0.7238544073248784
logistic,1.2,28,x0>1.5,"[0.86, 1.00]",2,42.25307316238869,1.3333651655711243,0.013229650573142373,0.0008218004360050081,0.062118075716478274
logistic,1.2,28,x0<-0.5,"[0.00, 0.14]",13,42.25307316238869,3.5814873237200096,0.005617316032547809,0.00044175380741293135,0.07864143745043448
logistic,1.2,28,x0<-0.5,"[0.14, 0.29]",20,42.25307316238869,7.643190111505393,0.0028951587409345903,0.0007903691051550232,0.2729968115323041
logistic,1.2,28,x0<-0.5,"[0.29, 0.43]",20,42.25307316238869,1.4298337092966684,0.0207873416801721,0.007778768836399395,0.3742070032850393
logistic,1.2,28,x0<-0.5,"[0.43, 0.57]",18,42.25307316238869,8.869793353652687,0.0016636314834594691,0.00029351668944590815,0.1764313144853146
logistic,1.2,28,x0<-0.5,"[0.57, 0.71]",21,42.25307316238869,4.952089562887908,0.002819829870484653,0.0005263046310510187,0.18664410805768256
logistic,1.2,28,x0<-0.5,"[0.71, 0.86]",25,42.25307316238869,6.956018238678765,0.006323416234023377,0.0014969042246180456,0.23672397470277157
logistic,1.2,28,x0<-0.5,"[0.86, 1.00]",36,42.25307316238869,8.618191590549038,0.014683042623418656,0.0015762188766250318,0.1073496084599692
logistic,1.2,28,x0<0,"[0.00, 0.14]",20,42.25307316238869,5.3278112342186414,0.007231940897607948,0.0006001912438328922,0.08299172412089441
logistic,1.2,28,x0<0,"[0.14, 0.29]",40,42.25307316238869,8.066867926399475,0.0111915572647097,0.0002801550297228079,0.02503271198961918
logistic,1.2,28,x0<0,"[0.29, 0.43]",35,42.25307316238869,1.8949297496493913,0.023979056126152417,0.007914685440703279,0.3300665964108254
logistic,1.2,28,x0<0,"[0.43, 0.57]",37,42.25307316238869,10.092536842082627,0.006690929358539874,0.0013927977764388833,0.20816208060263036
logistic,1.2,28,x0<0,"[0.57, 0.71]",35,42.25307316238869,10.896642745802303,0.010118891285514795,0.0011012534539306725,0.10883143447811505
logistic,1.2,28,x0<0,"[0.71, 0.86]",42,42.25307316238869,6.343697979235272,0.02485144570025989,0.0021393415378769573,0.08608519454683411
logistic,1.2,28,x0<0,"[0.86, 1.00]",49,42.25307316238869,12.91080183463949,0.0328394472309358,0.0008575500151750069,0.026113411993340958
logistic,1.2,28,x1>0.5,"[0.00, 0.14]",7,42.25307316238869,3.94607042743492,0.17132151481079202,0.011260281783347354,0.06572602276943
logistic,1.2,28,x1>0.5,"[0.14, 0.29]",9,42.25307316238869,3.044775672633799,0.061487218562414375,0.015580694589115764,0.2533972905816211
logistic,1.2,28,x1>0.5,"[0.29, 0.43]",11,42.25307316238869,2.1360779212554553,0.07602985445922242,0.02370899301837135,0.3118379377023186
