weight_mode,shift_strength,seed,global_ess,q10_local_ess,median_local_ess,worst_group_noise,false_alarm_005,false_alarm_010
logistic,0.8,45,90.634947641948,1.0,5.377172830058653,0.059420399716331423,True,False
logistic,0.8,46,101.97218928667748,1.0,4.35713969520678,0.09603494375047361,True,False
logistic,0.8,47,114.51724872610527,1.8679262273051447,8.262615240773307,0.043074567561744596,False,False
logistic,0.8,48,94.0908716876614,1.6278152225826954,5.697949541869551,0.07519608241512789,True,False
logistic,0.8,49,112.30102497588679,1.4588166749610114,5.917829519945226,0.1109727645345793,True,True
logistic,1.2,0,41.96470459580964,1.0,2.8840003461615202,0.13606355033302406,True,True
logistic,1.2,1,49.05963024437571,1.1481200970871308,2.930294752499405,0.07712053874517377,True,False
logistic,1.2,2,53.639109497562735,1.271154321200066,3.8203580927228495,0.07705869364614534,True,False
logistic,1.2,3,45.52262174443378,1.2303423838395304,4.493966236766806,0.10261531320400098,True,True
logistic,1.2,4,42.31379158880047,1.0,2.6410326625019076,0.14202310152069336,True,True
logistic,1.2,5,53.525093087197284,1.0,4.108305980299884,0.08568119180085486,True,False
logistic,1.2,6,53.07649575762345,1.223459357041721,4.323510462041079,0.10878157113462739,True,True
logistic,1.2,7,51.905273320314436,1.7061117376617096,6.461681809530001,0.043594949233576985,False,False
logistic,1.2,8,51.4181577502648,2.2819857481490122,7.095170266999094,0.07651284758389129,True,False
logistic,1.2,9,51.25468226087913,1.0922146187323345,4.8678948940316165,0.07258269858611027,True,False
logistic,1.2,10,56.80639883961866,1.0,3.1832373545733463,0.10760239037775651,True,True
logistic,1.2,11,48.27494580619456,1.0231666616869022,3.1378124053137073,0.12280288174208599,True,True
logistic,1.2,12,55.41125737324271,1.091726803683076,3.985387472794107,0.09844823205380615,True,False
logistic,1.2,13,59.37728345511845,1.1229716463432944,3.9642227808020323,0.11105209290069341,True,True
logistic,1.2,14,52.7673839176929,1.0,3.257959682308739,0.13990179193957078,True,True
logistic,1.2,15,57.43644697092216,1.1411217665022046,3.976998254219842,0.07584802404628241,True,False
logistic,1.2,16,45.47740922862389,1.5605877971942756,3.7186711119993787,0.09920797001647258,True,False
logistic,1.2,17,58.24643150507821,1.0,4.403463325761919,0.08215605115737644,True,False
logistic,1.2,18,50.38466883067623,1.0,3.205630411998958,0.15688449039865274,True,True
logistic,1.2,19,46.106128293718896,1.719205969846309,4.690050844065169,0.07401512130374781,True,False
logistic,1.2,20,50.05247296491591,2.016135323976832,7.87744007185994,0.03472168788913367,False,False
logistic,1.2,21,58.704451264273224,2.0292923465282984,7.125517939169117,0.07218978525357783,True,False
logistic,1.2,22,50.78026895353411,1.0,2.8650506687185096,0.10147190389619552,True,True
logistic,1.2,23,48.732182351143,1.0,2.8434689567782243,0.09921062462879267,True,False
logistic,1.2,24,44.60724108800191,1.0,4.057642032294779,0.10658078177151431,True,True
logistic,1.2,25,50.32802351400349,1.0,2.6425326091018455,0.11614393149910046,True,True
logistic,1.2,26,52.887459099165454,1.0,3.3948780592938004,0.09812247139320293,True,False
logistic,1.2,27,50.86617404413012,1.0,2.668511653183336,0.10408043205059507,True,True
logistic,1.2,28,42.25307316238869,1.0,2.302059492884105,0.12172619888693602,True,True
logistic,1.2,29,47.04047859724399,1.0,3.91875708134284,0.10526581508470911,True,True
logistic,1.2,30,45.72392441299638,1.0521817381031007,3.95181095059262,0.04212453337007277,False,False
logistic,1.2,31,48.202585013591275,1.2939599245810158,3.603921077253776,0.09735913989886456,True,False
logistic,1.2,32,56.18037466201477,1.28958589572247,4.342448458523685,0.07606624532449084,True,False
logistic,1.2,33,49.598920339501504,1.562372593433883,3.888201383416836,0.06817162714556152,True,False
logistic,1.2,34,53.92988092724523,2.178253603197501,7.339821477542092,0.03717648041715892,False,False
logistic,1.2,35,65.85743643033055,1.0,3.314559508991414,0.10787390509804712,True,True
logistic,1.2,36,49.1665971305359,1.0,2.355191051883319,0.12172605220858046,True,True
logistic,1.2,37,49.395487254027955,1.0,3.6752226975864124,0.1017768727479482,True,True
logistic,1.2,38,47.194882962841305,1.0567524848826324,3.4147309278107936,0.11046116612660753,True,True
logistic,1.2,39,48.164076536992305,1.0,3.307647754135962,0.08046468162607594,True,False
logistic,1.2,40,62.07287354644154,1.0,4.229994032954366,0.07666473656334104,True,False
logistic,1.2,41,42.77464469606036,1.0406410048407562,3.1575170350032633,0.11279973759985214,True,True
logistic,1.2,42,44.90673664037919,1.0,3.008817344423485,0.15040001809005085,True,True
logistic,1.2,43,50.471861730479965,1.0,3.0589080959702915,0.14441657147663933,True,True
logistic,1.2,44,42.16447723773326,1.0,3.9283546270558647,0.06470926646584668,True,False
logistic,1.2,45,45.022139937614746,1.0,3.3569659439443393,0.067744125927297,True,False
logistic,1.2,46,45.74909353396029,1.0,2.7471624009617246,0.150259722192546,True,True
logistic,1.2,47,58.37209661235275,1.0,5.386589130873336,0.05172859936927921,True,False
logistic,1.2,48,48.714378622546576,1.294279231805669,3.1123091475928755,0.09829086302027334,True,False
logistic,1.2,49,55.740848875577505,1.1073856798196609,3.039310118521844,0.15748391618855384,True,True
